Player,Market value,Nation,Pos,Club_x,Leauge,Age,MP,Starts,Min,Gls,Ast,Gls90,Ast90,G+A,Gls+Ast,Sh,SoT%,Sh/90,SoT/90,Score_forward
Lionel Messi,112000000,ARG,FW,Barcelona,La Liga,32.0,62.0,56.0,5143.0,58.0,30.0,1.01,0.52,1.53,88.0,297.0,47.14,5.2,2.45,8.6205
Luis Suárez,28000000,URU,FW,Barcelona,La Liga,32.0,56.0,50.0,4518.0,34.0,14.0,0.68,0.28,0.96,48.0,173.0,50.29,3.45,1.73,8.5555
Antoine Griezmann,96000000,FRA,FW,Barcelona,La Liga,28.0,69.0,65.0,5561.0,23.0,12.0,0.37,0.19,0.56,35.0,161.0,41.61,2.61,1.08,6.949999999999999
Ousmane Dembélé,56000000,FRA,FW,Barcelona,La Liga,22.0,34.0,23.0,2018.0,9.0,5.0,0.4,0.22,0.62,14.0,43.0,41.86,1.92,0.8,6.869000000000001
Ansu Fati,36000000,ESP,WB,Barcelona,La Liga,16.0,20.0,9.0,837.0,5.0,1.0,0.54,0.11,0.65,6.0,28.0,35.71,3.01,1.08,6.1805
