Player,Market value,Nation,Pos,Club_x,Leauge,Age,MP,Starts,Min,Tackle,TackleW,TakleD,Tkl%,Blocks,ShotB,PassB,Int,Clr,CrdY,CrdR,Score_defender
Gerard Piqué,20000000,ESP,DF,Barcelona,La Liga,32.0,66.0,66.0,5891.0,77.0,47.0,33.0,48.1,121.0,51.0,70.0,69.0,313.0,20.0,0.0,172.01999999999998
Clément Lenglet,48000000,FRA,DF,Barcelona,La Liga,24.0,46.0,45.0,3982.0,104.0,78.0,30.0,47.6,77.0,37.0,40.0,54.0,177.0,18.0,3.0,135.56999999999996
Jordi Alba,40000000,ESP,DF,Barcelona,La Liga,30.0,58.0,53.0,4806.0,65.0,45.0,25.0,30.4,105.0,12.0,93.0,94.0,114.0,12.0,0.0,119.97999999999998
Sergi Roberto,40000000,ESP,"DF,MF",Barcelona,La Liga,27.0,54.0,45.0,3977.0,51.0,34.0,16.0,40.0,62.0,7.0,55.0,71.0,73.0,11.0,0.0,83.00000000000001
