Unnamed: 0.1,Unnamed: 0,Player,Market value,Nation,Pos,Club_x,Leauge,Age,MP,Starts,Min,Gls,Ast,PK_x,PKatt_x,CrdY,CrdR,Gls90,Ast90,G+A,Gls+Ast,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Tackle,TackleW,TakleD,Tkl%,Press,Succ_x,%,Blocks,ShotB,PassB,Int,Clr,Passes Completed,Passes Attempted,Cmp%,Touches,Succ_y,Att,Succ%,#Pl
351,353,Axel Witsel,21500000,BEL,MF,Dortmund,Bundesliga,30.0,61.0,57.0,5118.0,8.0,6.0,0.0,0.0,6.0,0.0,0.14,0.11,0.25,14.0,0.0,0.0,66.0,19.0,0.0,28.79,1.16,0.33,0.12,0.42,96.0,61.0,28.0,32.3,729.0,214.0,29.36,77.0,12.0,65.0,80.0,71.0,3947.0,4213.0,93.69,4734.0,51.0,62.0,82.26,54.0
352,354,Nahitan Nández,21000000,URU,MF,Cagliari,Serie A,23.0,27.0,24.0,2178.0,2.0,3.0,0.0,0.0,12.0,0.0,0.08,0.12,0.2,5.0,0.0,0.0,16.0,6.0,0.0,37.5,0.66,0.25,0.12,0.33,52.0,36.0,18.0,30.5,522.0,117.0,22.41,26.0,2.0,24.0,14.0,27.0,736.0,978.0,75.26,1241.0,36.0,55.0,65.45,38.0
353,355,Mohamed Ihattaren,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,356,Lisandro Martínez,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,357,Max Aarons,20000000,ENG,DF,Norwich City,Premier Leauge,19.0,30.0,30.0,2700.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.03,0.03,1.0,0.0,0.0,13.0,3.0,0.0,23.08,0.43,0.1,0.0,0.0,56.0,31.0,19.0,46.3,435.0,120.0,27.59,78.0,27.0,51.0,25.0,71.0,1144.0,1466.0,78.04,1857.0,43.0,85.0,50.59,48.0
356,358,Bukayo Saka,20000000,ENG,WB,Arsenal,Premier Leauge,17.0,22.0,15.0,1452.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.25,0.25,4.0,0.0,0.0,9.0,2.0,0.0,22.22,0.56,0.12,0.0,0.0,36.0,20.0,13.0,39.4,256.0,76.0,29.69,21.0,4.0,17.0,8.0,19.0,594.0,754.0,78.78,947.0,30.0,45.0,66.67,30.0
357,359,Youcef Atal,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,360,Júnior Firpo,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,361,Riccardo Orsolini,20000000,ITA,FW,Bologna,Serie A,22.0,64.0,46.0,4197.0,16.0,9.0,0.0,0.0,5.0,0.0,0.34,0.19,0.53,25.0,0.0,0.0,139.0,53.0,7.0,38.13,2.98,1.14,0.12,0.3,62.0,42.0,21.0,23.9,887.0,222.0,25.03,69.0,6.0,63.0,31.0,50.0,1041.0,1695.0,61.42,2426.0,95.0,192.0,49.48,110.0
360,362,Rafael Leão,20000000,POR,FW,Milan,Serie A,20.0,48.0,26.0,2429.0,12.0,3.0,0.0,0.0,3.0,0.0,0.44,0.11,0.55,15.0,0.0,0.0,69.0,31.0,0.0,44.93,2.56,1.15,0.17,0.39,14.0,7.0,4.0,28.6,426.0,84.0,19.72,23.0,4.0,19.0,4.0,13.0,467.0,646.0,72.29,928.0,45.0,66.0,68.18,49.0
361,363,André Zambo Anguissa,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,364,Nordi Mukiele,20000000,FRA,DF,RB Leipzig,Bundesliga,21.0,44.0,35.0,3008.0,4.0,2.0,0.0,0.0,4.0,0.0,0.12,0.06,0.18,6.0,0.0,0.0,29.0,9.0,0.0,31.03,0.87,0.27,0.14,0.44,99.0,54.0,39.0,52.3,494.0,178.0,36.03,56.0,7.0,49.0,73.0,130.0,1513.0,2006.0,75.42,2458.0,34.0,57.0,59.65,36.0
363,365,Joelinton,20000000,BRA,FW,Newcastle Utd,Premier Leauge,22.0,60.0,55.0,4565.0,9.0,7.0,0.0,0.0,12.0,0.0,0.18,0.14,0.32,16.0,0.0,0.0,105.0,38.0,0.0,36.19,2.07,0.75,0.09,0.24,65.0,36.0,26.0,30.0,1036.0,236.0,22.78,60.0,11.0,49.0,24.0,32.0,1172.0,1458.0,80.38,2211.0,93.0,151.0,61.59,103.0
364,366,Sander Berge,20000000,NOR,MF,Sheffield Utd,Premier Leauge,21.0,7.0,5.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,50.0,0.47,0.23,0.0,0.0,14.0,9.0,2.0,28.6,151.0,37.0,24.5,18.0,0.0,18.0,7.0,10.0,174.0,233.0,74.68,300.0,7.0,9.0,77.78,7.0
