Unnamed: 0.1,Unnamed: 0,Player,Market value,Nation,Pos,Club_x,Leauge,Age,MP,Starts,Min,Gls,Ast,PK_x,PKatt_x,CrdY,CrdR,Gls90,Ast90,G+A,Gls+Ast,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Tackle,TackleW,TakleD,Tkl%,Press,Succ_x,%,Blocks,ShotB,PassB,Int,Clr,Passes Completed,Passes Attempted,Cmp%,Touches,Succ_y,Att,Succ%,#Pl
385,387,Diego Llorente,20000000,ESP,DF,Real Sociedad,La Liga,25.0,44.0,42.0,3637.0,0.0,1.0,0.0,0.0,12.0,1.0,0.0,0.02,0.02,1.0,0.0,0.0,15.0,3.0,0.0,20.0,0.37,0.07,0.0,0.0,57.0,38.0,28.0,47.8,326.0,119.0,36.5,55.0,22.0,33.0,47.0,237.0,2154.0,2472.0,87.14,2893.0,9.0,12.0,75.0,9.0
386,388,Duje Caleta-Car,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,389,Thomas Strakosha,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,390,Bryan Cristante,20000000,ITA,MF,Roma,Serie A,24.0,52.0,39.0,3569.0,5.0,6.0,0.0,0.0,13.0,1.0,0.13,0.15,0.28,11.0,0.0,0.0,63.0,17.0,0.0,26.98,1.59,0.43,0.08,0.29,88.0,54.0,31.0,34.8,1084.0,252.0,23.25,70.0,8.0,62.0,45.0,69.0,1785.0,2163.0,82.52,2590.0,49.0,63.0,77.78,50.0
389,391,Florian Grillitsch,20000000,AUT,"MF,DF",Hoffenheim,Bundesliga,23.0,61.0,55.0,4802.0,0.0,6.0,0.0,0.0,11.0,0.0,0.0,0.11,0.11,6.0,0.0,0.0,50.0,12.0,0.0,24.0,0.94,0.22,0.0,0.0,139.0,90.0,45.0,42.6,934.0,281.0,30.09,104.0,15.0,89.0,121.0,116.0,2870.0,3317.0,86.52,3949.0,43.0,63.0,68.25,43.0
390,392,Eric Dier,20000000,ENG,"MF,DF",Tottenham,Premier Leauge,25.0,36.0,30.0,2580.0,3.0,2.0,0.0,0.0,8.0,0.0,0.1,0.07,0.17,5.0,0.0,0.0,16.0,4.0,0.0,25.0,0.56,0.14,0.19,0.75,50.0,26.0,13.0,27.3,454.0,128.0,28.19,58.0,21.0,37.0,35.0,108.0,1499.0,1819.0,82.41,2112.0,6.0,11.0,54.55,6.0
391,393,James Tarkowski,20000000,ENG,DF,Burnley,Premier Leauge,26.0,67.0,67.0,5966.0,4.0,2.0,0.0,0.0,17.0,0.0,0.06,0.03,0.09,6.0,0.0,0.0,39.0,10.0,0.0,25.64,0.59,0.15,0.1,0.4,140.0,87.0,50.0,51.1,527.0,169.0,32.07,162.0,97.0,65.0,93.0,550.0,1568.0,2194.0,71.47,3190.0,19.0,24.0,79.17,22.0
392,394,Leandro Paredes,20000000,ARG,MF,Paris S-G,Ligue1,25.0,33.0,22.0,2063.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.09,0.09,2.0,0.0,0.0,32.0,6.0,2.0,18.75,1.4,0.26,0.0,0.0,55.0,34.0,32.0,45.7,331.0,97.0,29.31,38.0,7.0,31.0,28.0,32.0,2024.0,2216.0,91.34,2409.0,21.0,24.0,87.5,21.0
393,395,Jordan Veretout,20000000,FRA,MF,Roma,Serie A,26.0,59.0,57.0,5035.0,7.0,3.0,7.0,8.0,17.0,1.0,0.13,0.05,0.18,10.0,2.0,2.0,47.0,11.0,1.0,23.4,0.84,0.2,0.15,0.64,107.0,63.0,31.0,24.4,1059.0,295.0,27.86,82.0,9.0,73.0,66.0,83.0,2732.0,3346.0,81.65,3817.0,43.0,57.0,75.44,46.0
394,396,Remo Freuler,20000000,SUI,MF,Atalanta,Serie A,27.0,58.0,55.0,4719.0,4.0,8.0,0.0,0.0,6.0,0.0,0.08,0.15,0.23,12.0,0.0,0.0,43.0,12.0,0.0,27.91,0.82,0.23,0.09,0.33,152.0,110.0,59.0,29.3,1264.0,396.0,31.33,124.0,16.0,108.0,60.0,78.0,3084.0,3504.0,88.01,4122.0,54.0,82.0,65.85,61.0
395,397,Gerard Deulofeu,20000000,ESP,FW,Watford,Premier Leauge,25.0,58.0,51.0,4164.0,14.0,10.0,1.0,1.0,6.0,0.0,0.3,0.22,0.52,24.0,1.0,1.0,125.0,45.0,8.0,36.0,2.7,0.97,0.11,0.31,39.0,29.0,17.0,19.7,1019.0,261.0,25.61,33.0,0.0,33.0,39.0,12.0,1183.0,1618.0,73.11,2201.0,107.0,179.0,59.78,115.0
396,398,Abdoulaye Doucouré,20000000,FRA,MF,Watford,Premier Leauge,26.0,66.0,64.0,5716.0,9.0,8.0,0.0,0.0,16.0,0.0,0.14,0.13,0.27,17.0,0.0,0.0,107.0,28.0,0.0,26.17,1.68,0.44,0.08,0.32,136.0,93.0,29.0,25.9,1586.0,406.0,25.6,89.0,15.0,74.0,59.0,83.0,2787.0,3420.0,81.49,4140.0,84.0,130.0,64.62,89.0
397,399,Jesús Corona,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,400,Michael Keane,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,401,Marcos Alonso,20000000,ESP,DF,Chelsea,Premier Leauge,28.0,45.0,43.0,3888.0,6.0,6.0,0.0,0.0,10.0,0.0,0.14,0.14,0.28,12.0,0.0,0.0,67.0,14.0,1.0,20.9,1.55,0.32,0.09,0.43,88.0,52.0,23.0,19.2,711.0,227.0,31.93,87.0,5.0,82.0,54.0,126.0,2560.0,3102.0,82.53,3650.0,29.0,49.0,59.18,32.0
400,402,Luka Milivojevic,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,403,Marcel Halstenberg,20000000,GER,DF,RB Leipzig,Bundesliga,27.0,57.0,55.0,4934.0,6.0,9.0,2.0,2.0,8.0,1.0,0.11,0.16,0.27,15.0,0.0,0.0,53.0,17.0,7.0,32.08,0.97,0.31,0.11,0.35,115.0,55.0,58.0,42.6,619.0,222.0,35.86,114.0,16.0,98.0,83.0,171.0,2776.0,3491.0,79.52,4089.0,53.0,79.0,67.09,55.0
402,404,Sergio Canales,20000000,ESP,"MF,FW",Betis,La Liga,28.0,64.0,62.0,5458.0,13.0,7.0,5.0,6.0,9.0,0.0,0.21,0.12,0.33,20.0,3.0,4.0,103.0,36.0,3.0,34.95,1.7,0.59,0.13,0.36,75.0,65.0,20.0,20.6,842.0,193.0,22.92,75.0,6.0,69.0,21.0,23.0,3187.0,3822.0,83.39,4442.0,104.0,146.0,71.23,111.0
403,405,Dries Mertens,20000000,BEL,FW,Napoli,Serie A,32.0,58.0,36.0,3555.0,23.0,15.0,1.0,1.0,5.0,0.0,0.58,0.38,0.96,38.0,0.0,0.0,152.0,57.0,4.0,37.5,3.85,1.44,0.15,0.4,45.0,39.0,6.0,11.5,988.0,253.0,25.61,21.0,2.0,19.0,20.0,3.0,1122.0,1508.0,74.4,1925.0,41.0,87.0,47.13,45.0
404,406,Henrikh Mkhitaryan,20000000,ARM,"MF,FW",Roma,Serie A,30.0,40.0,29.0,2608.0,12.0,7.0,0.0,0.0,4.0,0.0,0.41,0.24,0.65,19.0,0.0,0.0,75.0,24.0,0.0,32.0,2.59,0.83,0.16,0.5,50.0,36.0,12.0,25.0,589.0,135.0,22.92,47.0,4.0,43.0,25.0,18.0,1105.0,1389.0,79.55,1812.0,40.0,83.0,48.19,43.0
405,407,Aleksandar Mitrovic,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,408,Edinson Cavani,20000000,URU,FW,Paris S-G,Ligue1,32.0,35.0,27.0,2276.0,22.0,6.0,5.0,6.0,3.0,0.0,0.87,0.24,1.11,28.0,1.0,1.0,74.0,27.0,1.0,36.49,2.93,1.07,0.3,0.81,15.0,11.0,3.0,20.0,407.0,90.0,22.11,27.0,9.0,18.0,7.0,15.0,396.0,504.0,78.57,741.0,24.0,34.0,70.59,26.0
407,409,Moussa Sissoko,20000000,FRA,MF,Tottenham,Premier Leauge,29.0,51.0,48.0,4199.0,2.0,4.0,0.0,0.0,8.0,0.0,0.04,0.09,0.13,6.0,0.0,0.0,29.0,7.0,0.0,24.14,0.62,0.15,0.07,0.29,91.0,59.0,27.0,39.5,805.0,230.0,28.57,71.0,9.0,62.0,37.0,55.0,2132.0,2472.0,86.25,2922.0,80.0,122.0,65.57,86.0
408,410,Leonardo Bonucci,20000000,ITA,DF,Juventus,Serie A,32.0,57.0,55.0,4964.0,6.0,0.0,0.0,0.0,8.0,0.0,0.11,0.0,0.11,6.0,0.0,0.0,33.0,12.0,0.0,36.36,0.6,0.22,0.18,0.5,45.0,25.0,18.0,52.9,301.0,101.0,33.55,83.0,44.0,39.0,64.0,219.0,2939.0,3371.0,87.18,3812.0,7.0,9.0,77.78,8.0
409,411,Dusan Tadic,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,412,Ivan Rakitic,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,413,Gerard Piqué,20000000,ESP,DF,Barcelona,La Liga,32.0,66.0,66.0,5891.0,5.0,2.0,0.0,0.0,20.0,0.0,0.08,0.03,0.11,7.0,0.0,0.0,32.0,15.0,1.0,46.88,0.49,0.23,0.16,0.33,77.0,47.0,33.0,48.1,491.0,160.0,32.59,121.0,51.0,70.0,69.0,313.0,4405.0,4774.0,92.27,5399.0,24.0,29.0,82.76,24.0
412,414,Daley Blind,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,415,Krépin Diatta,19000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,416,Dodi Lukebakio,19000000,COD,"MF,FW",Hertha BSC,Bundesliga,21.0,61.0,46.0,4003.0,17.0,9.0,4.0,6.0,8.0,0.0,0.38,0.2,0.58,26.0,0.0,0.0,89.0,45.0,2.0,50.56,2.0,1.01,0.19,0.38,58.0,37.0,13.0,27.6,593.0,140.0,23.61,48.0,6.0,42.0,18.0,32.0,924.0,1232.0,75.0,1862.0,112.0,169.0,66.27,122.0
415,417,Pau López,19000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,418,Moussa Marega,19000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,419,Domenico Berardi,19000000,ITA,FW,Sassuolo,Serie A,24.0,59.0,54.0,4766.0,18.0,9.0,2.0,3.0,9.0,2.0,0.34,0.17,0.51,27.0,1.0,2.0,211.0,62.0,12.0,29.38,3.98,1.17,0.09,0.29,74.0,41.0,28.0,17.5,1223.0,266.0,21.75,77.0,7.0,70.0,55.0,44.0,1607.0,2229.0,72.1,3057.0,97.0,167.0,58.08,102.0
418,420,Marten de Roon,19000000,NED,"MF,DF",Atalanta,Serie A,28.0,60.0,55.0,4925.0,3.0,8.0,1.0,1.0,19.0,0.0,0.05,0.15,0.2,11.0,0.0,0.0,51.0,12.0,0.0,23.53,0.93,0.22,0.06,0.25,139.0,102.0,52.0,31.9,1263.0,373.0,29.53,93.0,17.0,76.0,83.0,111.0,3300.0,3777.0,87.37,4290.0,27.0,36.0,75.0,27.0
419,421,Dennis Praet,19000000,BEL,MF,Leicester City,Premier Leauge,25.0,56.0,45.0,3904.0,3.0,5.0,0.0,0.0,8.0,0.0,0.07,0.12,0.19,8.0,0.0,0.0,47.0,15.0,0.0,31.91,1.08,0.35,0.06,0.2,102.0,72.0,38.0,30.0,864.0,213.0,24.65,77.0,5.0,72.0,50.0,49.0,1956.0,2356.0,83.02,2836.0,67.0,115.0,58.26,71.0
420,422,Oscar,19000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,423,Francis Coquelin,19000000,FRA,MF,Valencia,La Liga,28.0,47.0,38.0,3350.0,0.0,1.0,0.0,0.0,12.0,1.0,0.0,0.03,0.03,1.0,0.0,0.0,20.0,4.0,0.0,20.0,0.54,0.11,0.0,0.0,75.0,56.0,24.0,30.8,553.0,160.0,28.93,44.0,13.0,31.0,86.0,62.0,1634.0,1858.0,87.94,2247.0,47.0,63.0,74.6,47.0
422,424,Amadou Diawara,18500000,GUI,MF,Roma,Serie A,22.0,27.0,19.0,1591.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,25.0,0.91,0.23,0.0,0.0,45.0,29.0,13.0,45.0,359.0,104.0,28.97,19.0,0.0,19.0,37.0,19.0,1088.0,1225.0,88.82,1349.0,12.0,14.0,85.71,13.0
423,425,Gabriel Barbosa,18500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,426,Julian Weigl,18500000,GER,"MF,DF",Dortmund,Bundesliga,23.0,31.0,28.0,2474.0,2.0,0.0,0.0,0.0,7.0,0.0,0.07,0.0,0.07,2.0,0.0,0.0,12.0,4.0,0.0,33.33,0.44,0.15,0.17,0.5,53.0,30.0,28.0,45.8,335.0,104.0,31.04,38.0,8.0,30.0,27.0,85.0,1880.0,2024.0,92.89,2272.0,11.0,14.0,78.57,11.0
425,427,Matías Vecino,18500000,URU,MF,Inter,Serie A,27.0,48.0,37.0,3273.0,5.0,3.0,0.0,0.0,12.0,0.0,0.14,0.08,0.22,8.0,0.0,0.0,69.0,22.0,0.0,31.88,1.9,0.6,0.07,0.23,84.0,50.0,27.0,16.1,733.0,189.0,25.78,66.0,11.0,55.0,30.0,55.0,1363.0,1713.0,79.57,2126.0,21.0,35.0,60.0,23.0
426,428,Paulinho,18500000,BRA,"MF,FW",Leverkusen,Bundesliga,19.0,28.0,1.0,484.0,3.0,2.0,0.0,0.0,1.0,0.0,0.56,0.37,0.93,5.0,0.0,0.0,14.0,4.0,0.0,28.57,2.6,0.74,0.21,0.75,11.0,8.0,2.0,50.0,98.0,25.0,25.51,11.0,2.0,9.0,3.0,2.0,193.0,235.0,82.13,311.0,24.0,37.0,64.86,24.0
427,429,João Pedro,18000000,BRA,"MF,FW",Cagliari,Serie A,27.0,62.0,58.0,5069.0,24.0,6.0,6.0,8.0,10.0,1.0,0.43,0.11,0.54,30.0,4.0,6.0,126.0,42.0,1.0,33.33,2.24,0.75,0.19,0.57,37.0,28.0,7.0,19.0,739.0,168.0,22.73,68.0,16.0,52.0,15.0,39.0,1133.0,1519.0,74.59,2211.0,54.0,112.0,48.21,57.0
428,430,Rayan Cherki,18000000,FRA,"MF,FW",Lyon,Ligue1,15.0,6.0,1.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,66.67,1.89,1.26,0.0,0.0,2.0,2.0,2.0,50.0,29.0,10.0,34.48,2.0,0.0,2.0,0.0,0.0,44.0,66.0,66.67,87.0,6.0,9.0,66.67,6.0
429,431,Antony,18000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,432,Dwight McNeil,18000000,ENG,MF,Burnley,Premier Leauge,19.0,53.0,51.0,4389.0,5.0,11.0,0.0,0.0,7.0,0.0,0.1,0.23,0.33,16.0,0.0,0.0,69.0,19.0,9.0,27.54,1.41,0.39,0.07,0.26,74.0,36.0,27.0,28.6,1154.0,260.0,22.53,96.0,7.0,89.0,38.0,57.0,1107.0,1645.0,67.29,2226.0,107.0,185.0,57.84,114.0
431,433,Thiago Almada,18000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,434,Emerson,18000000,BRA,DF,Betis,La Liga,20.0,34.0,32.0,2775.0,3.0,5.0,0.0,0.0,11.0,0.0,0.1,0.16,0.26,8.0,0.0,0.0,26.0,5.0,0.0,19.23,0.84,0.16,0.12,0.6,85.0,51.0,26.0,34.8,503.0,128.0,25.45,63.0,9.0,54.0,36.0,78.0,1285.0,1605.0,80.06,2027.0,19.0,42.0,45.24,21.0
433,435,Benoît Badiashile,18000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,436,Douglas Luiz,18000000,BRA,MF,Aston Villa,Premier Leauge,21.0,53.0,38.0,3569.0,3.0,2.0,0.0,0.0,13.0,0.0,0.08,0.05,0.13,5.0,0.0,0.0,50.0,11.0,2.0,22.0,1.26,0.28,0.06,0.27,73.0,54.0,26.0,25.0,826.0,213.0,25.79,81.0,23.0,58.0,47.0,64.0,1472.0,1799.0,81.82,2220.0,42.0,56.0,75.0,46.0
435,437,Myron Boadu,18000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,438,Calvin Stengs,18000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,439,Exequiel Palacios,18000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,440,Sergiño Dest,18000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,441,Florentino,18000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,442,Diogo Dalot,18000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,443,Marc Cucurella,18000000,ESP,"MF,DF",Getafe,La Liga,21.0,62.0,57.0,5079.0,2.0,7.0,0.0,0.0,13.0,0.0,0.04,0.12,0.16,9.0,0.0,0.0,48.0,8.0,2.0,16.67,0.85,0.14,0.04,0.25,126.0,101.0,34.0,36.2,1488.0,482.0,32.39,109.0,10.0,99.0,46.0,69.0,1570.0,2207.0,71.14,2821.0,35.0,74.0,47.3,41.0
442,444,Carles Aleñá,18000000,ESP,MF,Barcelona,La Liga,21.0,21.0,8.0,809.0,2.0,0.0,0.0,0.0,2.0,0.0,0.22,0.0,0.22,2.0,0.0,0.0,15.0,4.0,0.0,26.67,1.67,0.44,0.13,0.5,8.0,4.0,2.0,20.0,219.0,48.0,21.92,7.0,0.0,7.0,2.0,5.0,683.0,743.0,91.92,835.0,13.0,20.0,65.0,13.0
443,445,Carles Aleñá,18000000,ESP,"MF,FW",Betis,La Liga,21.0,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,38.9,,,,,,,,,,,,,,,,
444,446,Matheus Henrique,17500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,447,Gabriel Magalhães,17500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,448,Jean-Philippe Mateta,17500000,FRA,FW,Mainz 05,Bundesliga,22.0,52.0,41.0,3536.0,17.0,3.0,1.0,1.0,4.0,1.0,0.43,0.08,0.51,20.0,1.0,1.0,130.0,45.0,0.0,34.62,3.31,1.15,0.13,0.38,20.0,14.0,1.0,0.0,601.0,135.0,22.46,29.0,8.0,21.0,7.0,36.0,460.0,678.0,67.85,1204.0,56.0,95.0,58.95,60.0
447,449,Harvey Barnes,17500000,ENG,MF,Leicester City,Premier Leauge,21.0,46.0,33.0,2844.0,7.0,8.0,0.0,0.0,0.0,0.0,0.22,0.25,0.47,15.0,0.0,0.0,92.0,32.0,0.0,34.78,2.91,1.01,0.08,0.22,29.0,15.0,8.0,24.0,462.0,116.0,25.11,31.0,6.0,25.0,8.0,10.0,735.0,975.0,75.38,1372.0,54.0,106.0,50.94,61.0
448,450,Ismaël Bennacer,17500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,451,Sean Longstaff,17500000,ENG,MF,Newcastle Utd,Premier Leauge,21.0,31.0,22.0,2023.0,2.0,1.0,0.0,0.0,4.0,1.0,0.09,0.04,0.13,3.0,0.0,0.0,33.0,8.0,3.0,24.24,1.47,0.36,0.06,0.25,63.0,40.0,26.0,31.9,727.0,182.0,25.03,49.0,7.0,42.0,29.0,41.0,739.0,938.0,78.78,1208.0,14.0,20.0,70.0,15.0
450,452,Mouctar Diakhaby,17500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,453,Christian Kouamé,17500000,CIV,FW,Genoa,Serie A,21.0,49.0,43.0,3981.0,9.0,7.0,0.0,0.0,5.0,0.0,0.2,0.16,0.36,16.0,0.0,0.0,108.0,34.0,0.0,31.48,2.44,0.77,0.08,0.26,44.0,28.0,10.0,0.0,723.0,166.0,22.96,49.0,7.0,42.0,27.0,35.0,823.0,1199.0,68.64,1854.0,72.0,133.0,54.14,77.0
452,454,Nikola Vlasic,17500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,455,Eric Bailly,17500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,456,Harry Wilson,17500000,WAL,"MF,FW",Bournemouth,Premier Leauge,22.0,26.0,20.0,1534.0,7.0,0.0,0.0,0.0,1.0,0.0,0.41,0.0,0.41,7.0,0.0,0.0,47.0,16.0,12.0,34.04,2.76,0.94,0.15,0.44,22.0,10.0,12.0,36.4,385.0,89.0,23.12,34.0,2.0,32.0,9.0,18.0,435.0,576.0,75.52,798.0,17.0,34.0,50.0,19.0
455,457,Neal Maupay,17500000,FRA,FW,Brighton,Premier Leauge,22.0,31.0,25.0,2303.0,9.0,2.0,1.0,2.0,3.0,0.0,0.35,0.08,0.43,11.0,1.0,2.0,81.0,32.0,0.0,39.51,3.17,1.25,0.11,0.28,24.0,15.0,6.0,18.2,635.0,163.0,25.67,27.0,2.0,25.0,4.0,5.0,476.0,604.0,78.81,941.0,31.0,60.0,51.67,33.0
456,458,Ben Davies,17500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,459,Fred,17500000,BRA,MF,Manchester Utd,Premier Leauge,26.0,43.0,36.0,3132.0,1.0,1.0,0.0,0.0,9.0,0.0,0.03,0.03,0.06,2.0,0.0,0.0,55.0,11.0,3.0,20.0,1.58,0.32,0.02,0.09,114.0,75.0,35.0,28.4,1037.0,284.0,27.39,96.0,10.0,86.0,54.0,31.0,2081.0,2441.0,85.25,2910.0,50.0,71.0,70.42,55.0
458,460,Luke Shaw,17500000,ENG,DF,Manchester Utd,Premier Leauge,24.0,50.0,46.0,4070.0,1.0,4.0,0.0,0.0,18.0,0.0,0.02,0.09,0.11,5.0,0.0,0.0,28.0,10.0,0.0,35.71,0.62,0.22,0.04,0.1,77.0,49.0,27.0,45.5,706.0,205.0,29.04,105.0,18.0,87.0,42.0,140.0,2670.0,3160.0,84.49,3613.0,47.0,66.0,71.21,50.0
459,461,Mike Maignan,17500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,462,Quincy Promes,17500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,463,Michy Batshuayi,17500000,BEL,FW,Chelsea,Premier Leauge,25.0,27.0,10.0,989.0,6.0,1.0,0.0,0.0,0.0,0.0,0.55,0.09,0.64,7.0,0.0,0.0,41.0,12.0,0.0,29.27,3.73,1.09,0.15,0.5,4.0,2.0,1.0,0.0,242.0,49.0,20.25,13.0,7.0,6.0,3.0,2.0,172.0,238.0,72.27,372.0,17.0,27.0,62.96,20.0
462,464,Michy Batshuayi,17500000,BEL,FW,Chelsea,Premier Leauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,465,Gabriel Paulista,17500000,BRA,DF,Valencia,La Liga,28.0,58.0,57.0,5067.0,1.0,1.0,0.0,0.0,11.0,0.0,0.02,0.02,0.04,2.0,0.0,0.0,16.0,4.0,0.0,25.0,0.28,0.07,0.06,0.25,45.0,26.0,19.0,39.1,235.0,88.0,37.45,99.0,50.0,49.0,121.0,389.0,2513.0,2829.0,88.83,3458.0,8.0,12.0,66.67,8.0
464,466,Ryan Fraser,17500000,SCO,"MF,FW",Bournemouth,Premier Leauge,25.0,66.0,56.0,5233.0,8.0,18.0,0.0,0.0,4.0,0.0,0.14,0.31,0.45,26.0,0.0,0.0,77.0,36.0,2.0,46.75,1.32,0.62,0.1,0.22,23.0,14.0,10.0,23.5,788.0,150.0,19.04,69.0,9.0,60.0,39.0,40.0,1667.0,2455.0,67.9,2942.0,32.0,67.0,47.76,37.0
465,467,Jesse Lingard,17500000,ENG,"MF,FW",Manchester Utd,Premier Leauge,26.0,47.0,28.0,2555.0,4.0,2.0,1.0,1.0,6.0,0.0,0.14,0.07,0.21,6.0,0.0,0.0,51.0,17.0,0.0,33.33,1.8,0.6,0.08,0.24,32.0,18.0,7.0,21.4,858.0,219.0,25.52,31.0,4.0,27.0,12.0,7.0,1002.0,1179.0,84.99,1477.0,28.0,57.0,49.12,33.0
466,468,Danny Ings,17500000,ENG,FW,Southampton,Premier Leauge,27.0,56.0,49.0,3916.0,25.0,5.0,3.0,3.0,4.0,0.0,0.57,0.11,0.68,30.0,0.0,0.0,128.0,50.0,0.0,39.06,2.94,1.15,0.2,0.5,67.0,44.0,18.0,21.7,1178.0,321.0,27.25,77.0,7.0,70.0,14.0,23.0,625.0,964.0,64.83,1558.0,75.0,119.0,63.03,81.0
467,469,Suso,17500000,ESP,"MF,FW",Sevilla,La Liga,25.0,47.0,41.0,3599.0,8.0,11.0,0.0,0.0,9.0,1.0,0.2,0.28,0.48,19.0,0.0,0.0,100.0,43.0,2.0,43.0,2.5,1.08,0.08,0.19,41.0,26.0,17.0,38.5,564.0,160.0,28.37,28.0,1.0,27.0,19.0,4.0,1554.0,2077.0,74.82,2494.0,105.0,149.0,70.47,110.0
468,470,Suso,17500000,ESP,"MF,FW",Milan,Serie A,25.0,,,,,,,,,,,,,,0.0,0.0,,,2.0,,,,,,,,,20.0,,,,,,,,,,,,,,,,
469,471,Marc Bartra,17500000,ESP,"DF,MF",Betis,La Liga,28.0,61.0,60.0,5272.0,4.0,1.0,0.0,0.0,11.0,0.0,0.07,0.02,0.09,5.0,0.0,0.0,29.0,8.0,0.0,27.59,0.5,0.14,0.14,0.5,146.0,91.0,40.0,43.2,713.0,232.0,32.54,118.0,49.0,69.0,94.0,329.0,3291.0,3753.0,87.69,4490.0,26.0,42.0,61.9,30.0
470,472,Thomas Delaney,17500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,473,Josip Ilicic,17500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,474,Anthony Lopes,17500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,475,Kevin Kampl,17500000,SVN,MF,RB Leipzig,Bundesliga,28.0,38.0,33.0,2788.0,4.0,7.0,0.0,0.0,6.0,0.0,0.13,0.23,0.36,11.0,0.0,0.0,40.0,17.0,0.0,42.5,1.29,0.55,0.1,0.24,56.0,39.0,16.0,40.9,561.0,177.0,31.55,55.0,4.0,51.0,51.0,19.0,1695.0,2017.0,84.04,2310.0,43.0,53.0,81.13,44.0
474,476,Ivan Perisic,17500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
