Player,Market value,Nation,Pos,Club_x,Leauge,Age,MP,Starts,Min,Tackle,TackleW,TakleD,Tkl%,Blocks,ShotB,PassB,Int,Clr,CrdY,CrdR,Score_defender
Marc Bartra,17500000,ESP,"DF,MF",Betis,La Liga,28.0,61.0,60.0,5272.0,146.0,91.0,40.0,43.2,118.0,49.0,69.0,94.0,329.0,11.0,0.0,196.73999999999998
Gianluca Mancini,22500000,ITA,"DF,MF",Roma,Serie A,23.0,54.0,48.0,4312.0,97.0,69.0,31.0,35.1,71.0,19.0,52.0,97.0,188.0,17.0,1.0,132.07000000000002
Robin Koch,17000000,GER,"DF,MF",Freiburg,Bundesliga,23.0,56.0,52.0,4606.0,64.0,35.0,15.0,32.0,72.0,36.0,36.0,78.0,229.0,6.0,0.0,117.05000000000001
